######################################
# Bloody Rally Show translations file 
# Locale: Dutch
# Translator: Danny Houtworm
# Contact: Translations@Houtworm.net
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicolas Merryland 
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,Bert Bruut
act.Fire,Vuur Wapon Af
act.DropWeapon,Laat Weapon Vallen

act.EditorZoom,Zoom
act.RotateObject,Roteer Object
act.HorizontalPan,Horizontale Pan
act.VerticalPan,Verticale Pan
act.PlaceObject,Plaats Object
act.CancelAction,Annuleer Actie
act.Undo,Ongedaan Maken
act.Redo,Opnieuw Uitvoeren
act.CopyModifier,Kopieer Wijziger
act.DeleteModifier,Verwijder Wijziger

act.Walk,Loop
act.Turn,Draai
act.Take Photo,Neem Foto
act.Wave,Zwaai
act.FastForward,Tijd Versnellen
act.PedZoom,Zoom
act.PedPause,Pauze

act.MoveHorizontal,Verplaats Horizontaal
act.MoveVertical,Verplaats Verticaal
act.PhotoZoom,Zoom
act.Rotate,Roteer
act.PhotoModePhoto,Neem Foto
act.ToggleTime,Laat Tijden Zien
act.ControlTimeScale,Tijdschaal
act.ToggleUI,Laat Interface Zien
act.ExitPhotoMode,Verlaat Foto Modus
act.AdjustMotionSpeed,Beweeg Snelheid

# Track editor

tr.file,Bestand
tr.file.new,Nieuw
tr.file.new.tip,Begin aan een nieuw Circuit
tr.file.open,Openen
tr.file.open.tip,Open een Opgeslagen Circuit
tr.file.save,Opslaan
tr.file.save.tip,Sla huidig Circuit op
tr.file.undo,Ongedaan Maken
tr.file.redo,Opnieuw Doen
tr.file.share,Delen
tr.file.share.tip,Deel huidig Circuit naar de Steam Workshop
tr.file.delete,Verwijder
tr.file.delete.tip,Verwijderd een Circuit (Je moet nog kiezen welke)
tr.file.exit,Sluit Af
tr.file.exit.tip,Ga terug naar het Hoofdmenu

tr.grid,Raster
tr.grid.toggle,Wissel
tr.grid.toggle.tip,Laat Raster wel of niet zien
tr.grid.light,Licht
tr.grid.light.tip,Maakt het Raster lichter (handig op donkere circuits)
tr.grid.dark,Donker
tr.grid.dark.tip,Maakt het Raster donker (handig op felle circuits)

tr.gen,Genereer
tr.gen.full_circuit,Compleet Gesloten Circuit
tr.gen.full_circuit.tip,Genereer een Gesloten Circuit met bochten en objecten, zal huidig circuit overschrijven.
tr.gen.full_open,Compleet Open Circuit
tr.gen.full_open.tip,Genereeer een Open Circuit met bochten en objecten, zal huidige weg overschijven.
tr.gen.circuit,Gesloten Circuit
tr.gen.circuit.tip,Genereer een Gesloten Circuit zonder objecten, Zal de huidige track en alle objecten overschrijven.
tr.gen.open,Open Circuit
tr.gen.open.tip,Genereer een Open Circuit zonder objecten, Zal de huidige track en alle objecten overschrijven.
tr.gen.all_objects,Objecten
tr.gen.all_objects.tip,Genereer objecten, Dit zal alle huidige objecten verwijderen, Maar niet het Circuit.
tr.gen.object_groups,Objectengroep
tr.gen.object_groups.tip,Genereer objecten, Dit zal alle huidige objecten verwijderen, Maar niet het Circuit.
tr.gen.crowd,Publiek
tr.gen.crowd.tip,Genereer een Publiek, Verwijderd al het huidige Publiek.
tr.gen.forests,Bossen
tr.gen.forests.tip,Genereert Bossen, dit verwijdert alle huidige bossen maar ook alle groene vlakken in Stad Circuits.
tr.gen.flowers,Bloemen
tr.gen.flowers.tip,Genereert Bloemen, dit verwijdert alle huidige Bloemen en doet niks in Stad Circuits.
tr.gen.bushes,Bosjes
tr.gen.bushes.tip,Genereert Bosjes, dit verwijdert alle huidige Bosjes en doet niks in Stad Circuits.
tr.gen.rocks,Rocks
tr.gen.rocks.tip,Genereert Stenen, dit verwijdert alle huidige Stenen.
tr.gen.tires,Banden
tr.gen.tires.tip,Genereert Banden, dit verwijdert alle huidige Banden.
tr.gen.cones,Pionnen
tr.gen.cones.tip,Genereert Pionnen, dit verwijdert alle huidige Pionnen.
tr.gen.walls,Muren
tr.gen.walls.tip,Genereert Muren, dit verwijdert alle huidige Muren.
tr.gen.lamps,Lantaarnpalen
tr.gen.lamps.tip,Genereert Lantaarnpalen, dit verwijdert alle huidige Lantaarnpalen.
tr.gen.buildings,Gebouwen
tr.gen.buildings.tip,Genereert Gebouwen, dit verwijdert alle huidige Gebouwen.
tr.gen.puddles,Plassen
tr.gen.puddles.tip,Genereert Waterplassen, dit verwijdert alle huidige Waterplassen.
tr.gen.ramps,Schansen
tr.gen.ramps.tip,Genereert Schansen, dit verwijdert alle huidige Schansen.

tr.ground_type,Grond Type
tr.ground_type.grass,Gras
tr.ground_type.tarmac,Asfalt
tr.ground_type.dirt,Modder
tr.ground_type.sand,Zand
tr.ground_type.snow,Sneeuw

tr.ground_detail,Grond Detail
tr.ground_detail.none,Geen
tr.ground_detail.none.tip,Zal alle grond details verwijderen.
tr.ground_detail.shared_tip,Zal grond details toevoegen, Klik meerdere keren om verschillende patronen te mixen.

tr.track_type,Circuit Type
tr.track_type.asphalt,Asfalt
tr.track_type.gravel,Modder
tr.track_type.snow,Sneeuw

tr.ed_track,Pas Circuit Aan
tr.ed_track.add,Voeg Toe
tr.ed_track.add.tip,Klik op de grond om nieuwe circuit elementen toe te voegen aan het einde van het circuit, Als het circuit al gesloten is worden start en finish tijdelijk losgekoppelt.
tr.ed_track.split,Splits
tr.ed_track.split.tip,Klik op de grond vlak naast de baan het circuit in verschillende segmenten te splitsen.
tr.ed_track.edit,Pas Aan
tr.ed_track.edit.tip,Klik en Sleep de punten om het circuit een andere vorm te geven
tr.ed_track.delete,Verwijder
tr.ed_track.delete.tip,Klik op een deel van het circuit om dat deel te verwijderen.
tr.ed_track.open_close,Open/Sluit
tr.ed_track.open_close.tip,Klik op te wisselen tussen een Open en een Gesloten Circuit.
tr.ed_track.auto_smooth,Milder maken
tr.ed_track.auto_smooth.tip,Maakt bochten wat milder.
tr.ed_track.randomize,Willekeurig
tr.ed_track.randomize.tip,Voegt een willekeurige bocht toe aan je huidige circuit.
tr.ed_track.sharpen,Scherper maken
tr.ed_track.sharpen.tip,Maakt bochten wat Scherper
tr.ed_track.wider,Wijder
tr.ed_track.wider.tip,Maakt het Circuit wijder
tr.ed_track.narrower,Smaller
tr.ed_track.narrower.tip,Maakt het Circuit smaller
tr.ed_track.grow,Groei
tr.ed_track.grow.tip,Vergroot de schaal van het circuit
tr.ed_track.shrink,Krimp
tr.ed_track.shrink.tip,WVerkleint de schaal van het circuit
tr.ed_track.move_start,Verplaats Start
tr.ed_track.move_start.tip,Verplaatst Start naar het volgende controle punt, Werkt alleen in Gesloten Circuits.
tr.ed_track.recenter,Centreren
tr.ed_track.recenter.tip,Centreert het Circuit en alle Objecten.
tr.ed_track.rotate,Roteer
tr.ed_track.rotate.tip,Roteert het hele Circuit en alle Objecten 45 graden met de klok mee.

tr.add_obj,Voeg Objecten Toe
tr.add_obj.group,Objecten Groep
tr.add_obj.group.tip,Voegt een object groep toe, klik nogmaals om willekeurig te maken.
tr.add_obj.forest,Bos
tr.add_obj.forest.tip,Plaatst een boel willekeurige bomen.
tr.add_obj.flowers,Bloemen
tr.add_obj.flowers.tip,Plaatst een boel willekeurige bloemen.
tr.add_obj.crowd,Publiek
tr.add_obj.crowd.tip,Publiek Cirkel die voetgangers zal plaatsen als je klikt, Kan ook dixies en sneeuwpoppen plaatsen.
tr.add_obj.cone,Pion
tr.add_obj.cone.tip,Houd ingedrukt om rijen te plaatsen.
tr.add_obj.tire,Band
tr.add_obj.tire.tip,Houd ingeedrukt om rijen te plaatsen.
tr.add_obj.porta_potty,Dixie
tr.add_obj.porta_potty.tip,Dixies omrijden geeft je wat extra lachgas.
tr.add_obj.barrel,Ton
tr.add_obj.barrel.tip,Tonnen kunnen exploderen als ze worden aangereden op hoge snelheid.
tr.add_obj.snowman,Sneeuwpoppen
tr.add_obj.snowman.tip,Sneeuwpoppen omrijden geeft je wat extra lachgas.
tr.add_obj.street_lamp,Lantaarnpaal
tr.add_obj.junk_car,Autowrak
tr.add_obj.hot_dog_truck,Hot Dog Wagen
tr.add_obj.hot_dog_cart,Hot Dog Kraam
tr.add_obj.bench,Bankje
tr.add_obj.water_puddle,Waterplas
tr.add_obj.water_puddle.tip,Een beetje glad
tr.add_obj.water_pond,Vijvertje
tr.add_obj.water_pond.tip,Een beetje glad
tr.add_obj.ice_patch,Ijsvlak
tr.add_obj.ice_patch.tip,Best wel glad
tr.add_obj.oil_spill,Olie Vlek
tr.add_obj.oil_spill.tip,Heel erg glad
tr.add_obj.ramp,Schans
tr.add_obj.ramp.tip,Schans waar autos overheen kunnen springen, geeft een kleine boost.
tr.add_obj.power_ramp,Super Schans
tr.add_obj.power_ramp.tip,Super Schans waar autos overheen kunnen springen, geeft een grote boost.
tr.add_obj.crop_field,Maaifeld
tr.add_obj.rock,Steen
tr.add_obj.desert_rock,Woestijnsteen
tr.add_obj.wall,Muur
tr.add_obj.pipe,Pijp
tr.add_obj.solar_panels,Zonnepanelen
tr.add_obj.silo,Silo
# Thing for retrieving water from the ground
tr.add_obj.well,Put
tr.add_obj.old_hut,Oud hokje
tr.add_obj.vault,Kluis
tr.add_obj.house,Huis
tr.add_obj.building,Gebouw
tr.add_obj.grass_square,Gras Vierkant
tr.add_obj.grass_square.tip,Om planten of bosjes op asfalt te plaatsen.
tr.add_obj.bush,Bosje
tr.add_obj.bush.tip,Verwoestbare decoratieve bosjes
tr.add_obj.green_tree,Groene Boom
tr.add_obj.branch_tree,Kale Boom
tr.add_obj.snow_tree,Sneeuw Boom
tr.add_obj.flowers_single,Bloem

tr.ed_obj,Bewerk Objecten
tr.ed_obj.move,Verplaats
tr.ed_obj.move.tip,Klik en sleep om een object te verplaatsen
tr.ed_obj.rotate,Roteer
tr.ed_obj.rotate.tip,Klik en sleep om een object te roteren, Houd Shift ingedrukt voor meer precisie.
tr.ed_obj.delete,Verwijder
tr.ed_obj.delete.tip,Klik op een object om deze te verwijderen
tr.ed_obj.clear_all,Verwijder alle objecten
tr.ed_obj.clear_all.tip,Verwijderd alle objecten van dit circuit
tr.ed_obj.clear_groups,Verwijder Groepen 
tr.ed_obj.clear_groups.tip,Verwijder alle zelfgemaakte objectgroepen
tr.ed_obj.clear_crowd,Verwijder Publiek
tr.ed_obj.clear_crowd.tip,Verwijdert al het publiek.
tr.ed_obj.clear_forests,Verwijder Bossen
tr.ed_obj.clear_forests.tip,Verwijdert alle bossen, Ook alle groene vierkanten in stadscircuits maar laat individueel geplaatste bomen staan.
tr.ed_obj.clear_flowers,Verwijder Bloemen
tr.ed_obj.clear_flowers.tip,Verwijdert alle bloemen, Doet niks in Stadscircuits en laat individueel geplaatste bomen staan.
tr.ed_obj.clear_bushes,Verwijder Bosjes
tr.ed_obj.clear_bushes.tip,Verwijdert alle bosjes, Doet niks in Stadscircuits.
tr.ed_obj.clear_rocks,Verwijder Stenen
tr.ed_obj.clear_rocks.tip,Verwijdert alle Stenen.
tr.ed_obj.clear_tires,Verwijder Banden
tr.ed_obj.clear_tires.tip,Verwijdert alle Banden.
tr.ed_obj.clear_cones,Verwijder Pionnen
tr.ed_obj.clear_cones.tip,Verwijdert alle Pionnen.
tr.ed_obj.clear_walls,Verwijder Muren
tr.ed_obj.clear_walls.tip,Verwijder alle muren.
tr.ed_obj.clear_lamps,Verwijder Lantaarnpalen
tr.ed_obj.clear_lamps.tip,Verwijdert alle Lantaarnpalen.
tr.ed_obj.clear_buildings,Verwijder Gebouwen
tr.ed_obj.clear_buildings.tip,Verwijdert alle huizen en gebouwen.
tr.ed_obj.clear_puddles,Verwijder Plasjes
tr.ed_obj.clear_puddles.tip,Verwijdert alle, Waterplassen, Ijsvlakken en Olievlekken.
tr.ed_obj.clear_ramps,Verwijder Schansen
tr.ed_obj.clear_ramps.tip,Verwijdert alle schansen

tr.test_drive,Testrit
tr.test_drive_ai,CPU Testrit
tr.help,Help

# Car Editor

ced.select_base_car,Selecteer Basis Auto
ced.select_car,Selecteer Auto

ced.new_car,Nieuwe Auto
ced.open_car,Open Auto
ced.download_cars,Download Autos
ced.exit,Verlaat
ced.save_car,Auto Opslaan
ced.delete_car,Verwijder
ced.parameters,Parameters
ced.edit_sprites,Bewerk Sprites
ced.description,Beschrijving
ced.part_positions,Onderdeel Positie
ced.sounds,Geluiden
ced.modding_guide,Modificatie Gids
ced.share,Delen
ced.reload_sprites,Herlaad Sprites
ced.close,Sluit
ced.test_drive,Testrit
ced.end_test_drive,Beindig Testrit

ced.speed_idx,Snelheid Index
ced.price,Prijs
ced.price.tip,Prijs is automatisch gebaseert op de snelheidsindex
ced.req_level,Benodigd Niveau
ced.req_level.tip,Benodigd Niveau is automatisch gebaseert op de snelheidsindex
ced.label.general,Algemeen
ced.max_speed_kmh,Topsnelheid (kmh)
ced.max_speed_kmh.tip,Nodig om de versnellingsbak goed te laten werken, Doe een testrit op een rechte weg om de topsnelheid te ontdekken.
ced.mass_kg,Gewicht (kg)
ced.mass_kg.tip,Lichte auto + Veel PK = niet te doen. Vind de juiste balans.
ced.max_health,Duurzaamheid
ced.label.engine,Motor
ced.engine_power,Paardenkracht
ced.engine_power.tip,Bestuurbaarheid houd op rond de 500 PK, Als je er overheen kan betekend het niet dat dit moet, Pas de topsnelheid aan na deze instelling!
ced.label.handling,Wegligging
ced.steering_sensitivity,Stuurgevoeligheid
ced.steering_sensitivity.tip,Hoe scherp en gevoelig het sturen is, Dit is ook afhankelijk van het gewicht.
ced.label.grip,Grip
ced.drift_factor,Driftgevoeligheid met grip
ced.drift_factor.tip,Hoe makkelijk je in een drift beland wanneer je grip hebt, Aanbevolen waarde is tussen 0.8 en 0.9.
ced.slip_factor,Driftgevoeligheid zonder grip
ced.slip_factor.tip,Hoe makkelijk je in een drift beland wanneer je geen grip hebt, Aanbevolen waarde is tussen 0.95 en 0.9999
ced.max_sticky_vel,Driftweerstand
ced.max_sticky_vel.tip,Hoe snel je een bocht kunt nemen zonder automatisch in de drift te gaan, Aanbevolen waarde is tussen 1 en 1.5.
ced.label.gearbox,Versnellingsbak
ced.max_rpm,Max Touren
ced.max_rpm.tip,Dit past het motorgeluid nog niet aan, wees zeker dat je een geschikt motorgeluid kiest.
ced.idle_rpm,Stationair Touren
ced.shift_time,Schakeltijd
ced.shift_time.tip,Hoe lang het duurt om te schakelen.

ced.label.sounds,Geluiden
ced.sound.engine,Motor
ced.sound.muffler,Uitlaat
ced.sound.turbo,Turbo
ced.sound.turbo.tip,Je hoort de Turbo alleen bij een opgevoerde Auto.
ced.sound.charger,Compressor
ced.sound.charger.tip,Je hoort de Compressor alleen bij een opgevoerde Auto.

ced.label.model,Model Naam
ced.model_name,Auto Model Naam
ced.label.description,Beschrijving
ced.car_description_placeholder,Vertel iets speciaals over je creatie.

ced.label.lights,Lichten
ced.front_lights_width,Koplamp Breedte
ced.front_lights_pos,Koplamp Positie
ced.rear_lights_width,Remlicht Breedte
ced.rear_lights_pos,Remlicht Positie

ced.label.wheels,Wielen
ced.front_axle_width,Voor As Breedte
ced.front_axle_pos,Voor As Positie
ced.rear_axle_width,Achter As Breedte
ced.rear_axle_pos,Achter As Positie

ced.label.interior,Interieur
ced.interior_off_x,Interieur verplaatsen X
ced.interior_off_y,Interieur verplaatsen Y

ced.label.collider,Bots Model
ced.collider_width,Auto Breedte
ced.collider_height,Auto Lengte
ced.center_of_mass,Massamiddelpunt
ced.center_of_mass.tip,Beinvloed gedrag met sturen, in de bochten, en met het driften.

ced.label.exhausts,Uitlaat
ced.exhaust_count,Uitlaat Aantal
ced.exhaust_width,Uitlaat Breedte
ced.exhaust_pos,Uitlaat Positie

################################################################################

# Cutscenes

### Lore Cutscene ### <-- please get this one very well, it's something people usually see within first 2 minutes of the game

# In here {0} is the number of years and {1} is a date
cut.lore.1,Hey! Ben jij niet die beroemde racer die in een ongeluk is beland {0} jaar geleden? Ik weet dat je een een cryo slaap hebt gezeten sinds {1}, Dus laat me je op de hoogte brengen.
# {0} is a date
cut.lore.2,Er was een Gigantisch Tech Bedrijf die je wel zou moeten kennen uit jouw tijd, Ik kan momenteel alleen niet op de orginele naam komen. Het elimineerde alle competitie en nam controle over de wereldwijde economie in {0}.
# You should probably keep "Social Frontier of Activism" and SOFACT unchanged in your translation, for authenticity (company was not local after all)
cut.lore.3,In plaats van vooruitgang in de wetenschap ging het bedrijf zich bezig houden met onzinnige politieke discussies. Op een bepaald punt hebben ze de naam verandert naar het "Sociale Frontier voor Activisme" of SOFACT.
cut.lore.4,Maar uiteindelijk nam de menselijke natuur over. Activisten werden uitgeroeid met geweld tijdens een vijandige overname, en SOFACT, Terwijl het nog steeds oogt als een vriendelijk bedrijf, wordt het nu gerund door knokkelhoofd criminelen van de oude garde.
# Please do not translate "Bloody Rally Show", or included it into parentheses next to translation. Example: "Kruvinojo Ralio Šou" (Bloody Rally Show)
cut.lore.5,Nieuwe leiders richtte zich op winst. Ze bleven maar investeren in entertainment om zoveel mogelijk advertentie inkomsten te genereren. Zo is "Bloody Rally Show" de populairste vorm van entertainment geworden.
cut.lore.6,In Bloody Rally Show proberen ze de gouden eeuw van de rally te recreeren, Zo gebruiken ze technologie uit 1980, specifiek uit de beruchte Groep B Klasse. Het aantal ongelukken is torenhoog maar Sociale Media Beinvloeders blijven maar komen voor de beste fotos die ze vervolgens weer kunnen delen.
cut.lore.7,Verlies je auto niet mijn vriend, anders mag je meedoen als toeschouwer. success en veel geluk! Oh, Trouwens, Ik had je naam niet meegekregen.

### Season Intro ### <-- please get this one very well too, it's part 2 of the main introduction

cut.intro.1,He, Nieuwe, Je bent te laat! Ik ben de directeur van Bloody Rally Show. Er is hier iemand anders die je moet ontmoeten.
# {0} will be a random insult word
cut.intro.2,Daar ben je, {0}.We hebben je ontwaakt omdat men zegt dat jij goed weet hoe je deze klassieke autos moet besturen. Maak er een goede show van!
cut.intro.2_2,Oh, af en toe zullen we je ook om een gunst vragen, Maar niks absurds, Maak je geen zorgen!
cut.intro.3,Wacht eens. Waarom moet ik dit doen voor jouw?
# {0} will be an insult, ${1} - sum of money, like $500000
cut.intro.4,Omdat je ons schuldig bent voor de kosten van de cryo slaap, {0}! Je bent ons ${1} schuldig, Als je dit betaalt ben je vrij om te staan en gaan waar je wilt. Tot die tijd ben je eigendom van SOFACT.
cut.intro.5,Ziet er naar uit dat ik geen keuze heb... Wanneer moet ik beginnen?
cut.intro.6,Volg mij nieuwe, Ik zal je alles laten zien. Laten we de andere racers eerst ontmoeten.
# {0} will be a plural insult (addressing all racers)
cut.intro.7,Oke, {0}, Jullie zijn terug voor meer? Ik ben onder de indruk!
cut.intro.8,Ik heb nog steeds het gevoel dat er meer is voor mij, snap je?
cut.intro.9,Blij dat je terug bent! Volg mij, Ik heb wat papieren die je moet tekenen.

### Racer died cutscene

# {0} will be racer's name, {1} will be a "he" or "she"
cut.died.1,Helaas heeft {0} het niet gehaald. Maar {1} zal altijd in onze ranglijsten blijven staan.
cut.died.2,*Drukt F op het toetsenbord*
# {0} will be a plural insult, like "clowns"
cut.died.3,Blijf eens van mijn toetsenbord af stelletje {0}!

### Mission cutscene (shared) <-- important to get right too, will be shared across dozen of missions!

cut.racer.mid_comment.1,God allemachtig!
# {0} will be a curse word
cut.racer.mid_comment.2,{0}, Niet weer.
# {0} will be a curse word
cut.racer.mid_comment.3,Ik hoop dat deze {0} goed betaald.
# {0} will be a curse adjective (like "friggin")
cut.racer.mid_comment.4,Ja, Ik snap het. Laten we over {0} bedragen praten.
# {0} will be a curse word (crap)
cut.racer.mid_comment.5,{0}, Hier gaan we weer.

# {0} will be some name or title
cut.racer2gov.greet.1,{0}, Ik hoorde dat je me wou zien?
cut.racer2gov.greet.2,{0}, Heb je een minuutje?
cut.racer2gov.greet.3,Hey, {0}, Mag ik je wat vragen?
cut.racer2gov.greet.4,*Klop klop klop*
cut.racer2gov.greet.5,{0}, Ik wil je de hele week al wat vragen.
cut.racer2gov.greet.6,Mag ik binnenkomen?
cut.racer2gov.greet.7,Hey {0}, Heb je nog wat extra werk wat ik zou kunnen doen? Ik kom een beetje geld tekort.

# {0} will be a name or a title
cut.racer2racer.greet.1,Hey {0}! Hoe gaat het met je?
cut.racer2racer.greet.2,{0}! Net de persoon naar wie ik op zoek was!
cut.racer2racer.greet.3,Hey, Vriendelijke Collega!
cut.racer2racer.greet.4,Oh Hallo {0}, Ik had je niet gezien!

cut.racer2racer.resp.1,Hey {0}, Hoe hangt je turbo eronder?
cut.racer2racer.resp.2,Natuurlijk, laat me raden, Je wil me iets vragen?
# {0} will be a curse adjective (friggin face)
cut.racer2racer.resp.3,Niet jij weer, Ik houd niet van jouw {0} kop, racer.
cut.racer2racer.resp.4,Oh nee, Ik was niet degene die vannacht je banden heeft lekgestoken!
# {0} will be an insult (like clown)
cut.racer2racer.resp.5,Wat moet je {0}?

cut.gov2racer.greet_resp.1,{0}, Natuurlijk, Kom binnen!
cut.gov2racer.greet_resp.2,{0}, Ik verwachtte je al.
cut.gov2racer.greet_resp.3,Ga zitten en luister goed.
# {0} Curse adjective - friggin cash
cut.gov2racer.greet_resp.4,Jij wil vast wel wat extra {0} munten verdienen, Of niet?
# {0} Curse adjective - friggin cash
cut.gov2racer.greet_resp.5,Laat me raden, Jij wil zeker wat extra {0} munten verdienen, Of niet?

# {0} - insult singular
cut.call.1,Hey, jij! {0}! Kom hier
# {0} - insult singular
cut.call.2,Hey! {0}!
# {0} - name or title
cut.call.3,{0}. Ik was naar jouw op zoek!
cut.call.4,{0}, Wacht even, waarom heb je zo'n haast?
cut.call.5,Dus, we ontmoeten weer.
# {0} - insult singular
cut.call.6,Oh, Hoor ik daar een {0} Praten?
# {0} - racer name
cut.call.7,Dat is lang geleden, {0}.
cut.call.8,Gegroet, {0}.
cut.call.9,Welkom, {0}.
# {0} - insult singular
cut.call.10,Niet jij weer, {0}, Wat moet je deze keer? Maar omdat je hier toch bent, Ik heb wat voor je.

cut.call.resp.1,Wat moet je?
cut.call.resp.2,...
# {0} - curse adjective (friggin point)
cut.call.resp.3,Bla bla, wat is daarmee jouw {0} punt.
# {0} - name or title
cut.call.resp.4,Oh, Het was aangenaam om je te zien, {0}.
cut.call.resp.5,Gegroet, {0}.
cut.call.resp.6,Ik heb eigenlijks wat extra geld nodig, heb je misschien een klusje voor mij?
cut.call.resp.7,Sommige racers maken me het niet makkelijk, Denk je dat je me zou kunnen helpen?
cut.call.resp.8,Heb je misschien speciale evenementen waar ik aan mee kan doen? Iets wat de kijkcijfers kan opkrikken?

# {0} below is always government official name or title
cut.end.player2gov.1,Ik zal zien wat ik kan doen.
cut.end.player2gov.2,Alles voor jouw, Geachte {0}.
cut.end.player2gov.3,Heb ik een keuze?
cut.end.player2gov.4,Niet weer...
cut.end.player2gov.5,Zal dit ooit stoppen?
cut.end.player2gov.6,Oke oke, Ik regel het.
cut.end.player2gov.7,Dat is prima.
cut.end.player2gov.8,Ja, tuurlijk, wat maakt het uit.
cut.end.player2gov.9,Ik zal het proberen...
cut.end.player2gov.10,Ik wil naar huis!
cut.end.player2gov.11,Gedag, {0}.
cut.end.player2gov.12,Ontzettend bedankt voor de kans!

cut.end.player2racer.1,Natuurlijk, het zal leuk worden.
# {0} - name or title
cut.end.player2racer.2,Alles voor jouw, Lieve {0}.
# {0} - insult singular (i.e. clown)
cut.end.player2racer.3,Dan is het geregeld, {0}!
cut.end.player2racer.4,Ja, Eindelijk iets wat het waard is.
cut.end.player2racer.5,Oh, Met plezier!
cut.end.player2racer.6,Ik zal er over nadenken.
# {0} - racer name, {1} - curse word (i.e. crap)
cut.end.player2racer.7,Ik vind je niet aardig {0}, maar, {1}, waarom niet.
cut.end.player2racer.8,Ach, Waarom ook niet.
# {0} - singular insult
cut.end.player2racer.9,Natuurlijk, {0}.

cut.end.racer2player.1,Later.
cut.end.racer2player.2,Oke, Ik zie je snel.
cut.end.racer2player.3,Ik houd je in de gaten.
cut.end.racer2player.4,Ik zou maar over mijn schouder blijven kijken.
# {0} will be an noun insult (clown)
cut.end.racer2player.5,Laten we gaan, Tijd voor jouw om mijn stof te happen, {0}.
cut.end.racer2player.6,Laten we in de auto duiken.
cut.end.racer2player.7,Minder praten, meer doen.
cut.end.racer2player.8,Gedag.
cut.end.racer2player.9,Tuurlijk.
# {0} will be an noun insult (clown)
cut.end.racer2player.10,Tuurlijk, {0}.

# {0} - curse adjective (goddamn security)
cut.end.gov.1,Nu weg, anders bel ik de {0} beveiliging.
# {0} - insult singular (clown)
cut.end.gov.2,Oprotten, {0}.
# {0} - curse adverb (friggin leave)
cut.end.gov.3,Ga alstublieft, Ga en kom niet meer terug tot je hebt gedaan wat ik je vroeg.
# {0} - insult singular (clown)
cut.end.gov.4,Later, {0}.
cut.end.gov.5,Later.

cut.req.drift.1,Bijna vergeten. Je moet wel zijwaards gaan!
cut.req.drift.2,Oh, en doe het terwijl je drift, de toeschouwers houden ervan.
cut.req.drift.3,En, je bent beter aan het driften terwijl je het doet.
cut.req.drift.4,Wacht, vergeten te vertellen, ddoe het in een drift, het publiek houd ervan.
cut.req.drift.5,En ze vertelde me dat je kon racen, dus bewijs het, doe het in een drift.

cut.resp.drift.1,Niet weer, Het is onmogelijk om zo te winnen!
# {0} - curse word (crap)
cut.resp.drift.2,Oh, {0}...
# {0} - curse word (crap)
cut.resp.drift.3,{0}, Dit gaat moeilijk worden.
cut.resp.drift.4,Oke, Ik kan dit.
cut.resp.drift.5,Positief.
# {0} - name of character (i.e. Brace)
cut.resp.drift.6,Mijn plezier, {0}.
cut.resp.drift.7,Meneer Ja Meneer
cut.resp.drift.8,Dan zijwaards zal het wezen.
cut.resp.drift.9,Ik doe het zijwaards zonder dat je het zou vragen!
cut.resp.drift.10,Genoeg gezegd!
# {0} - insult singular (clown)
cut.resp.drift.11,Komt voor elkaar, {0}!

# In block blow, {0} will be second part of the sentence, generated somewhere 
# (i.e. for your trouble, you will receive $1000)
cut.reward.part.1,Voor je moeite {0}.
cut.reward.part.2,Als je successvol bent {0}.
cut.reward.part.3_us,Als je me niet in de steek laat {0}.
cut.reward.part.3_me,Als je me niet teleurstelt {0}.
cut.reward.part.4,Als dit gebeurt {0}.
cut.reward.part.5,Als je niet faalt {0}.
cut.reward.part.6,Als je slaagt {0}.

# Same here, {0} will be second part of sentence generated somewhere
# (i.e. if you fail me like you always do, I will think of some punishment)
cut.punish.part.1,als je faalt {0}!
cut.punish.part.2,als je niet successvol bent {0}.
cut.punish.part.3,als je meer zoals gewoonlijk weer in de steek laat {0}!
cut.punish.part.4,als je het verprutst {0}!
cut.punish.part.4_1,als je het verpest {0}!
cut.punish.part.4_2,als je het verkloot {0}!
cut.punish.part.5,Als je op wondere wijze faalt {0}!
cut.punish.part.6,Als je het niet doet {0}.

# In block below {0} will be generated sentence with reward part, {1} with punishment
# (i.e: If you succeed, you will get $1000, otherwise I will puncture your tires)
cut.rew.pun.part.1,Doe dit en {0}, maar als je faalt {1}!
cut.rew.pun.part.2,Als een beloning {0}, Maar als je te laf bent {1}!
cut.rew.pun.part.3,Als dit gebeurt dan {0}, anders {1}!
