######################################
# Bloody Rally Show translations file 
# Locale: Spanish
# Author: Google Translate
# Contact: help@kodolinija.com
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicholas Merryland
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,Piedra de refuerzo
act.DeleteModifier,Eliminar Editar

act.Walk,Caminar
act.Turn,Giro
act.Take Photo,Tomar foto
act.Wave,Ola
act.FastForward,Avance rápido
act.PedZoom,Enfocar
act.PedPause,Pausa

act.MoveHorizontal,Mover horizontal
act.MoveVertical,Mover vertical
act.PhotoZoom,Enfocar
act.Rotate,Girar
act.PhotoModePhoto,Tomar foto
act.ToggleTime,Alternar tiempo
act.ControlTimeScale,Escala de tiempo
act.ToggleUI,Alternar interfaz de usuario
act.ExitPhotoMode,Salir del modo de foto
act.AdjustMotionSpeed,Velocidad de movimiento

# Track editor

tr.file,Expediente
tr.file.new,Nuevo
tr.file.new.tip,Comience a editar una nueva pista
tr.file.open,Abierto
tr.file.open.tip,Abrir una pista guardada
tr.file.save,Salvar
tr.file.save.tip,Guardar pista actual
tr.file.undo,Deshacer
tr.file.redo,Listo
tr.file.share,Compartir
tr.file.share.tip,Subir la pista actual a Steam Workshop
tr.file.delete,Eliminar
tr.file.delete.tip,Eliminar una tachuela guardada (elegirás cuál)
tr.file.exit,Salida
tr.file.exit.tip,Salir al menú principal

tr.grid,Cuadrícula
tr.grid.toggle,Palanca
tr.grid.toggle.tip,Mostrar u ocultar la cuadrícula
tr.grid.light,Ligero
tr.grid.light.tip,Hacer que la cuadrícula sea brillante (útil en pistas oscuras)
tr.grid.dark,Oscuro
tr.grid.dark.tip,Hacer la cuadrícula oscura (útil en pistas brillantes)

tr.gen,Generar
tr.gen.full_circuit,Circuito completo
tr.gen.full_circuit.tip,Genera un circuito completo de circuito de carrera de curvatura y objetos. Reemplazará la pista actual.
tr.gen.full_open,Carretera abierta completa
tr.gen.full_open.tip,Genere una curvatura completa de camino abierto y objetos. Reemplazará la pista actual.
tr.gen.circuit,Circuito
tr.gen.circuit.tip,Generar curvatura de circuito cerrado. Reemplazará la pista actual y eliminará objetos.
tr.gen.open,Camino abierto
tr.gen.open.tip,Generar curvatura de camino abierto. Reemplazará la pista actual y eliminará objetos.
tr.gen.all_objects,Todos los objetos
tr.gen.all_objects.tip,Generar nuevos objetos. Reemplazará todos los objetos existentes.
tr.gen.object_groups,Grupos de objetos
tr.gen.object_groups.tip,Generar grupos de objetos hechos a mano. Reemplazará todos los existentes.
tr.gen.crowd,Multitud
tr.gen.crowd.tip,Generar multitud. Reemplazará todos los existentes.
tr.gen.forests,Los bosques
tr.gen.forests.tip,Generar bosques. Reemplazará todos los existentes. ¡Si se usa en las pistas de la Ciudad, eliminará todos los cuadrados verdes!
tr.gen.flowers,Flores
tr.gen.flowers.tip,Genera flores. Reemplazará todos los existentes. No hará nada en las pistas de la ciudad.
tr.gen.bushes,Arbustos
tr.gen.bushes.tip,Generar arbustos. Reemplazará todos los existentes. No hará nada en las pistas de la ciudad.
tr.gen.rocks,Rocas
tr.gen.rocks.tip,Generar rocas. Reemplazará todos los existentes.
tr.gen.tires,Llantas
tr.gen.tires.tip,Generar llantas. Reemplazará todos los existentes.
tr.gen.cones,Conos
tr.gen.cones.tip,Generar conos. Reemplazará todos los existentes.
tr.gen.walls,Paredes
tr.gen.walls.tip,Generar muros. Reemplazará todos los existentes.
tr.gen.lamps,Lámparas de la calle
tr.gen.lamps.tip,Generar farolas. Reemplazará todos los existentes.
tr.gen.buildings,Edificios
tr.gen.buildings.tip,Generar edificios. Reemplazará todos los existentes.
tr.gen.puddles,Charcos
tr.gen.puddles.tip,Generar charcos. Reemplazará todos los existentes.
tr.gen.ramps,Rampas
tr.gen.ramps.tip,Generar rampas. Reemplazará todos los existentes.

tr.ground_type,Tipo de suelo
tr.ground_type.grass,Césped
tr.ground_type.tarmac,Pista
tr.ground_type.dirt,Suciedad
tr.ground_type.sand,Arena
tr.ground_type.snow,Nieve

tr.ground_detail,Detalle del suelo
tr.ground_detail.none,Ninguna
tr.ground_detail.none.tip,Eliminará la capa de detalle del suelo
tr.ground_detail.shared_tip,Agregará detalles de tierra. Haga clic varias veces para diferentes patrones de fusión.

tr.track_type,Tipo de pista
tr.track_type.asphalt,Asfalto
tr.track_type.gravel,Grava
tr.track_type.snow,Nieve

tr.ed_track,Editar pista
tr.ed_track.add,Añadir
tr.ed_track.add.tip,Haga clic en el suelo para agregar un nuevo segmento de pista al final de la pista. Si la pista está en bucle, el inicio y el final se desconectarán temporalmente.
tr.ed_track.split,División
tr.ed_track.split.tip,Haga clic en el suelo cerca de la pista para dividirla en más segmentos.
tr.ed_track.edit,Editar
tr.ed_track.edit.tip,Haga clic y arrastre los tiradores para modificar la curva de ruta de seguimiento
tr.ed_track.delete,Eliminar
tr.ed_track.delete.tip,Haga clic en el controlador para eliminar un nodo de ruta de seguimiento
tr.ed_track.open_close,Abierto cerrado
tr.ed_track.open_close.tip,Haga clic para alternar el bucle de seguimiento
tr.ed_track.auto_smooth,Auto Smooth
tr.ed_track.auto_smooth.tip,Suavizará la curva de la pista
tr.ed_track.randomize,Aleatorizar
tr.ed_track.randomize.tip,Agregará curvatura aleatoria a la ruta de seguimiento actual
tr.ed_track.sharpen,Afilar
tr.ed_track.sharpen.tip,Afilará algunos ángulos (puede tomar algunos segundos para pistas más grandes)
tr.ed_track.wider,Más amplio
tr.ed_track.wider.tip,Ampliará la pista
tr.ed_track.narrower,Más estrecho
tr.ed_track.narrower.tip,Hará la pista más estrecha
tr.ed_track.grow,Crecer
tr.ed_track.grow.tip,Aumentará la escala de la pista
tr.ed_track.shrink,Encogimiento
tr.ed_track.shrink.tip,Disminuirá la escala de la pista
tr.ed_track.move_start,Mover inicio
tr.ed_track.move_start.tip,Moverá la posición de inicio al siguiente punto de control (solo para pistas cerradas)
tr.ed_track.recenter,Receptor
tr.ed_track.recenter.tip,Volverá a centrar la pista y todos los objetos
tr.ed_track.rotate,Girar
tr.ed_track.rotate.tip,Girará la pista y todos los objetos 45 grados en sentido horario

tr.add_obj,Agregar objetos
tr.add_obj.group,Grupo de objetos
tr.add_obj.group.tip,Agregará un grupo de objetos. Haga clic nuevamente para aleatorizar.
tr.add_obj.forest,Bosque
tr.add_obj.forest.tip,Engendrará un montón de árboles al azar
tr.add_obj.flowers,Flores
tr.add_obj.flowers.tip,Engendrará un ramo de flores al azar
tr.add_obj.crowd,Multitud
tr.add_obj.crowd.tip,El círculo de multitudes generará peatones y puede generar un Porta Potty o un muñeco de nieve
tr.add_obj.cone,Cono
tr.add_obj.cone.tip,Mantenga presionado un botón y arrastre para colocar una fila
tr.add_obj.tire,Neumático
tr.add_obj.tire.tip,Mantenga presionado un botón y arrastre para colocar una fila
tr.add_obj.porta_potty,Traer orinal
tr.add_obj.porta_potty.tip,Volcar un Porta Potty da un poco de Nitro
tr.add_obj.barrel,Barril
tr.add_obj.barrel.tip,Los barriles tienen la posibilidad de explotar cuando se golpean a velocidades más altas.
tr.add_obj.snowman,Monigote de nieve
tr.add_obj.snowman.tip,Destruir un muñeco de nieve da un poco de nitro
tr.add_obj.street_lamp,Farola
tr.add_obj.junk_car,Coche basura
tr.add_obj.hot_dog_truck,Camión de perritos calientes
tr.add_obj.hot_dog_cart,Carrito de perritos calientes
tr.add_obj.bench,Banco
tr.add_obj.water_puddle,Charco de agua
tr.add_obj.water_puddle.tip,Un poco resbaladizo
tr.add_obj.water_pond,Estanque de agua
tr.add_obj.water_pond.tip,Un poco resbaladizo
tr.add_obj.ice_patch,Parche de hielo
tr.add_obj.ice_patch.tip,Bastante resbaladizo
tr.add_obj.oil_spill,Derrame de petróleo
tr.add_obj.oil_spill.tip,Muy resbaladizo
tr.add_obj.ramp,Rampa
tr.add_obj.ramp.tip,Rampa sobre la que los autos pueden saltar. Da un poco de impulso.
tr.add_obj.power_ramp,Rampa de potencia
tr.add_obj.power_ramp.tip,Rampa motorizada que aumenta la velocidad adicional antes del salto
tr.add_obj.crop_field,Campo de cultivo
tr.add_obj.rock,Rock
tr.add_obj.desert_rock,Roca del desierto
tr.add_obj.wall,pared
tr.add_obj.pipe,Tubo
tr.add_obj.solar_panels,Paneles solares
tr.add_obj.silo,Silo
# Thing for retrieving water from the ground
tr.add_obj.well,Bien
tr.add_obj.old_hut,Choza vieja
tr.add_obj.vault,Bóveda
tr.add_obj.house,Casa
tr.add_obj.building,edificio
tr.add_obj.grass_square,Plaza de hierba
tr.add_obj.grass_square.tip,Para plantar árboles y flores sobre asfalto
tr.add_obj.bush,Arbusto
tr.add_obj.bush.tip,Arbusto decorativo destruible
tr.add_obj.green_tree,Árbol verde
tr.add_obj.branch_tree,Rama de árbol
tr.add_obj.snow_tree,Árbol de nieve
tr.add_obj.flowers_single,Flores

tr.ed_obj,Editar objetos
tr.ed_obj.move,Moverse
tr.ed_obj.move.tip,Haga clic y arrastre un objeto para moverlo.
tr.ed_obj.rotate,Girar
tr.ed_obj.rotate.tip,Haga clic y arrastre un objeto para rotarlo. Mantenga presionada la tecla Mayús para obtener más precisión.
tr.ed_obj.delete,Eliminar
tr.ed_obj.delete.tip,Haga clic en un objeto para eliminarlo.
tr.ed_obj.clear_all,Limpiar todo
tr.ed_obj.clear_all.tip,Eliminar todos los objetos en la pista
tr.ed_obj.clear_groups,Borrar grupos
tr.ed_obj.clear_groups.tip,Borrar grupos de objetos hechos a mano
tr.ed_obj.clear_crowd,Multitud clara
tr.ed_obj.clear_crowd.tip,Despeja a todas las multitudes
tr.ed_obj.clear_forests,Bosques claros
tr.ed_obj.clear_forests.tip,Despeja todos los bosques. ¡Si se usa en las pistas de la Ciudad, eliminará todos los cuadrados verdes! No eliminará los árboles colocados individualmente.
tr.ed_obj.clear_flowers,Flores claras
tr.ed_obj.clear_flowers.tip,Despeja todas las flores. No hará nada en las pistas de la ciudad. No borrará flores colocadas individualmente.
tr.ed_obj.clear_bushes,Arbustos claros
tr.ed_obj.clear_bushes.tip,Despeja todos los arbustos. No hará nada en las pistas de la ciudad.
tr.ed_obj.clear_rocks,Rocas claras
tr.ed_obj.clear_rocks.tip,Despeja todas las rocas
tr.ed_obj.clear_tires,Llantas claras
tr.ed_obj.clear_tires.tip,Eliminar todos los neumáticos
tr.ed_obj.clear_cones,Conos claros
tr.ed_obj.clear_cones.tip,Borrar todos los conos
tr.ed_obj.clear_walls,Paredes claras
tr.ed_obj.clear_walls.tip,Despejar todas las paredes
tr.ed_obj.clear_lamps,Lámparas claras
tr.ed_obj.clear_lamps.tip,Eliminar todas las farolas
tr.ed_obj.clear_buildings,Edificios claros
tr.ed_obj.clear_buildings.tip,Despeja todas las casas y edificios
tr.ed_obj.clear_puddles,Charcos claros
tr.ed_obj.clear_puddles.tip,Limpie todos los charcos, parches de hielo y derrames de petróleo.
tr.ed_obj.clear_ramps,Rampas despejadas
tr.ed_obj.clear_ramps.tip,Borrar todas las rampas

tr.test_drive,Conducir
tr.test_drive_ai,AI Drive
tr.help,Ayuda

# Car Editor

ced.select_base_car,Seleccionar coche base
ced.select_car,Seleccionar auto

ced.new_car,Carro nuevo
ced.open_car,Coche abierto
ced.download_cars,Descargar Cars
ced.exit,Salida
ced.save_car,Guardar coche
ced.delete_car,Eliminar
ced.parameters,Parámetros
ced.edit_sprites,Editar sprites
ced.description,Descripción
ced.part_positions,Posiciones parciales
ced.sounds,Suena
ced.modding_guide,Guía de modificación
ced.share,Compartir
ced.reload_sprites,Recargar Sprites
ced.close,Cerca
ced.test_drive,Prueba de conducción
ced.end_test_drive,Fin de prueba de manejo

ced.speed_idx,Índice de velocidad
ced.price,Precio
ced.price.tip,El precio se calcula automáticamente a partir del índice de velocidad
ced.req_level,Nivel requerido
ced.req_level.tip,El nivel requerido se calcula automáticamente a partir del índice de velocidad
ced.label.general,General
ced.max_speed_kmh,Velocidad máxima (kmh)
ced.max_speed_kmh.tip,Necesario para que la caja de cambios funcione correctamente. Pruebe conducir el automóvil en una recta larga para averiguar la velocidad máxima.
ced.mass_kg,Masa del coche (kg)
ced.mass_kg.tip,Coche ligero + motor de alta potencia = locura. Encuentra el equilibrio correcto.
ced.max_health,Máxima salud
ced.label.engine,Motor
ced.engine_power,Potencia del motor
ced.engine_power.tip,La cordura termina en alrededor de 500 BHP. Si puedes superarlo, no significa que debas hacerlo. Ajuste la velocidad máxima después de editar esto!
ced.label.handling,Manejo
ced.steering_sensitivity,Sensibilidad de la dirección
ced.steering_sensitivity.tip,Qué afilada y sensible es la dirección. También depende de la masa.
ced.label.grip,Apretón
ced.drift_factor,Factor de deriva con tracción
ced.drift_factor.tip,Con qué facilidad el automóvil entra en una deriva cuando tiene tracción. El valor recomendado es entre 0.8 y 0.9.
ced.slip_factor,Factor de deriva sin tracción
ced.slip_factor.tip,Con qué facilidad el automóvil permanece a la deriva cuando no hay tracción. El valor recomendado es entre 0.95 y 0.9999
ced.max_sticky_vel,Velocidad máxima de tracción lateral
ced.max_sticky_vel.tip,Qué tan rápido el automóvil puede llegar a una esquina sin meterse en una deriva. El valor recomendado es entre 1 y 1.5.
ced.label.gearbox,Caja de cambios
ced.max_rpm,RPM máximas
ced.max_rpm.tip,¡Esto no afectará el sonido del motor directamente! Seleccione el sonido del motor apropiado.
ced.idle_rpm,RPM inactivo
ced.shift_time,Tiempo de cambio
ced.shift_time.tip,¿Cuánto tardan en cambiar los engranajes?

ced.label.sounds,Suena
ced.sound.engine,Motor
ced.sound.muffler,Silenciador
ced.sound.turbo,Turbo
ced.sound.turbo.tip,El sonido turbo solo se escuchará cuando conduzca con un automóvil mejorado
ced.sound.charger,Sobrealimentador
ced.sound.charger.tip,El supercargador solo se escuchará cuando conduzca con un automóvil mejorado

ced.label.model,Nombre del modelo
ced.model_name,Nombre del modelo del automóvil
ced.label.description,Descripción
ced.car_description_placeholder,Algo especial que decir sobre tu nueva creación

ced.label.lights,Luces
ced.front_lights_width,Ancho de luces delanteras
ced.front_lights_pos,Posición de luces delanteras
ced.rear_lights_width,Ancho de luces traseras
ced.rear_lights_pos,Posición de luces traseras

ced.label.wheels,Ruedas
ced.front_axle_width,Ancho del eje delantero
ced.front_axle_pos,Posición del eje delantero
ced.rear_axle_width,Ancho del eje trasero
ced.rear_axle_pos,Posición del eje trasero

ced.label.interior,Interior
ced.interior_off_x,Desplazamiento interior X
ced.interior_off_y,Interior Offset Y

ced.label.collider,Colisionador
ced.collider_width,Ancho del colisionador
ced.collider_height,Altura del colisionador
ced.center_of_mass,Centro de masa
ced.center_of_mass.tip,Afecta el giro y el comportamiento en las esquinas / deriva

ced.label.exhausts,Escapes
ced.exhaust_count,Recuento de escape
ced.exhaust_width,Ancho de escape
ced.exhaust_pos,Posición de escape

################################################################################

# Cutscenes

### Lore Cutscene ### <-- please get this one very well, it's something people usually see within first 2 minutes of the game

# In here {0} is the number of years and {1} is a date
cut.lore.1,¡Oye! ¿No eres ese corredor famoso que tuvo un accidente importante hace {0} años? Sé que has estado en sueño criogénico desde {1}, así que déjame ponerte al día.
# {0} is a date
cut.lore.2,Hubo una corporación tecnológica altamente exitosa, una que debes conocer, simplemente no puedo recordar su nombre original en este momento. Eliminó su competencia y tomó el control de la economía global en {0}.
# You should probably keep "Social Frontier of Activism" and SOFACT unchanged in your translation, for authenticity (company was not local after all)
cut.lore.3,En lugar de buscar descubrimientos científicos, la corporación se había estado estrangulando con políticas internas cada vez más complejas. En algún momento lo cambiaron a "Frontera social del activismo", o SOFACT.
cut.lore.4,Pero finalmente la naturaleza humana se hizo cargo. Los activistas fueron eliminados por la fuerza durante una toma de posesión hostil inesperada, y SOFACT, aunque sigue apareciendo como una organización amiga, ahora pertenece a matones de la vieja escuela.
# Please do not translate "Bloody Rally Show", or included it into parentheses next to translation. Example: "Kruvinojo Ralio Šou" (Bloody Rally Show)
cut.lore.5,Nuevos líderes centrados en las ganancias. Continuaron invirtiendo en entretenimiento para maximizar los ingresos por publicidad, y el "Bloody Rally Show" es el entretenimiento preferido para la mayoría de las personas en estos días.
cut.lore.6,En Bloody Rally Show, intentan recrear la era dorada de los rallyes utilizando tecnologías de la década de 1980, las del infame Grupo B. La cantidad de accidentes es altísima, pero los influenciadores de las redes sociales siguen tratando de obtener esas fotos de primeros planos de acción. .
cut.lore.7,No pierdas tu auto, amigo, o quizás tengas que unirte a la multitud. ¡Ahora buena suerte y buena suerte! Ah, por cierto, no entendí tu nombre.

### Season Intro ### <-- please get this one very well too, it's part 2 of the main introduction

cut.intro.1,¡Oye, novato, llegas tarde! Soy el director de Bloody Rally Show. Hay alguien más que me gustaría que conocieras.
# {0} will be a random insult word
cut.intro.2,Ahí estás, {0}. Te trajimos porque dicen que sabes cómo conducir bien esos autos de carreras de la vieja escuela. ¡Ahora ve a hacer un buen espectáculo!
cut.intro.2_2,Ah, y le pediremos que nos haga algunos favores de vez en cuando. ¡Nada grande, no te preocupes por eso!
cut.intro.3,Espera un momento. ¿Por qué tengo que hacer esto por ti?
# {0} will be an insult, ${1} - sum of money, like $500000
cut.intro.4,¡Porque nos debes por el sueño criogénico, {0}! Paga $ {1} al final de cualquier temporada y eres libre de hacer lo que quieras. Hasta entonces tu trasero pertenece a SOFACT.
cut.intro.5,Parece que no tengo muchas opciones ... ¿Cuándo empiezo?
cut.intro.6,Sígueme novato, te mostraré los alrededores. Conozcamos a los otros corredores primero.
# {0} will be a plural insult (addressing all racers)
cut.intro.7,Entonces, {0}, ¿has vuelto por más? ¡Estoy impresionado!
cut.intro.8,Todavía siento que me queda algo por hacer, sabes
cut.intro.9,Feliz de que hayas vuelto! Ahora sígueme, hay algunos documentos que debes firmar.

### Racer died cutscene

# {0} will be racer's name, {1} will be a "he" or "she"
cut.died.1,{0} no lo logró. Pero {1} siempre permanecerá en nuestras tablas de clasificación.
cut.died.2,* Presiona F en el teclado *
# {0} will be a plural insult, like "clowns"
cut.died.3,¡Deja de jugar con mi teclado {0}!

### Mission cutscene (shared) <-- important to get right too, will be shared across dozen of missions!

cut.racer.mid_comment.1,¡Madre de Dios!
# {0} will be a curse word
cut.racer.mid_comment.2,{0}, no esto de nuevo.
# {0} will be a curse word
cut.racer.mid_comment.3,Espero que esto {0} pague bien.
# {0} will be a curse adjective (like "friggin")
cut.racer.mid_comment.4,Si, lo tengo. Ahora hable {0} en efectivo.
# {0} will be a curse word (crap)
cut.racer.mid_comment.5,{0}, aquí vamos de nuevo.

# {0} will be some name or title
cut.racer2gov.greet.1,{0}, escuché que querías verme.
cut.racer2gov.greet.2,{0}, ¿tienes un minuto?
cut.racer2gov.greet.3,Hola, {0}, ¿te importa si te pregunto algo?
cut.racer2gov.greet.4,*TOC Toc*
cut.racer2gov.greet.5,{0}, he querido preguntarte algo.
cut.racer2gov.greet.6,¿Puedo pasar?
cut.racer2gov.greet.7,Hola {0}, ¿tienes algún trabajo extra que pueda hacer por ti? Tengo poco dinero en efectivo.

# {0} will be a name or a title
cut.racer2racer.greet.1,¡Hola {0}! ¿Como estas?
cut.racer2racer.greet.2,{0}! ¡Justo la persona que he estado buscando!
cut.racer2racer.greet.3,¡Hola, compañero corredor!
cut.racer2racer.greet.4,Ah, hola, {0}, no te noté.

cut.racer2racer.resp.1,Hola {0}, ¿cómo está tu turbo?
cut.racer2racer.resp.2,Bien, déjame adivinar, ¿quieres preguntarme algo?
# {0} will be a curse adjective (friggin face)
cut.racer2racer.resp.3,No a ti otra vez, no me gusta tu cara {0}, corredor.
cut.racer2racer.resp.4,¡Oh no, no fui yo quien pinchó tus neumáticos anoche!
# {0} will be an insult (like clown)
cut.racer2racer.resp.5,¿Qué quieres, {0}?

cut.gov2racer.greet_resp.1,{0}, sí, por favor entra!
cut.gov2racer.greet_resp.2,{0}, te he estado esperando.
cut.gov2racer.greet_resp.3,Por favor, siéntate y escucha con atención.
# {0} Curse adjective - friggin cash
cut.gov2racer.greet_resp.4,Te gustaría ganar algo de {0} efectivo extra, ¿no?
# {0} Curse adjective - friggin cash
cut.gov2racer.greet_resp.5,Déjame adivinar, te gustaría ganar algo de {0} efectivo extra, ¿no?

# {0} - insult singular
cut.call.1,¡Eh, tú! {0}! Ven aquí.
# {0} - insult singular
cut.call.2,¡Oye! {0}!
# {0} - name or title
cut.call.3,{0}. ¡Te estuve buscando!
cut.call.4,{0}, espera un momento, ¿por qué tienes tanta prisa?
cut.call.5,Entonces, nos encontramos de nuevo.
# {0} - insult singular
cut.call.6,Oh, solo el {0} que he estado buscando
# {0} - racer name
cut.call.7,Ha pasado un tiempo, {0}.
cut.call.8,Saludos, {0}.
cut.call.9,Bienvenido, {0}.
# {0} - insult singular
cut.call.10,No otra vez, {0}, ¿qué quieres? Pero como estás aquí, tengo algo para ti.

cut.call.resp.1,¿Qué deseas?
cut.call.resp.2,...
# {0} - curse adjective (friggin point)
cut.call.resp.3,Sí, sí, corta al punto {0}.
# {0} - name or title
cut.call.resp.4,Es un placer verte, {0}.
cut.call.resp.5,Saludos, {0}.
cut.call.resp.6,He estado necesitando un poco más de efectivo últimamente, ¿tienes algo que pueda hacer?
cut.call.resp.7,Algunos de los conductores me han estado haciendo pasar un mal rato, ¿crees que podrías ayudarme?
cut.call.resp.8,¿Tienes algún tipo de evento especial en el que pueda participar, algo para aumentar las calificaciones del programa?

# {0} below is always government official name or title
cut.end.player2gov.1,Veré lo que puedo hacer.
cut.end.player2gov.2,Cualquier cosa por ti, querido {0}.
cut.end.player2gov.3,¿Tengo otra opción?
cut.end.player2gov.4,No otra vez...
cut.end.player2gov.5,¿Esto terminará alguna vez?
cut.end.player2gov.6,Vale, vale, lo tengo.
cut.end.player2gov.7,Esto esta bien.
cut.end.player2gov.8,Sí, claro, lo que sea.
cut.end.player2gov.9,Bien, lo intentaré.
cut.end.player2gov.10,Quiero ir a casa.
cut.end.player2gov.11,Adiós, {0}.
cut.end.player2gov.12,¡Muchas gracias por la oportunidad!

cut.end.player2racer.1,Claro hombre, será divertido.
# {0} - name or title
cut.end.player2racer.2,Cualquier cosa por ti, querido {0}.
# {0} - insult singular (i.e. clown)
cut.end.player2racer.3,¡Está encendido, {0}!
cut.end.player2racer.4,Sí, finalmente algo que vale la pena.
cut.end.player2racer.5,¡Oh, con mucho gusto!
cut.end.player2racer.6,Lo pensare.
# {0} - racer name, {1} - curse word (i.e. crap)
cut.end.player2racer.7,No me gustas {0}, pero {1}, ¿por qué no?
cut.end.player2racer.8,Seguro, como sea.
# {0} - singular insult
cut.end.player2racer.9,Lo que sea, {0}.

cut.end.racer2player.1,Tranquilízate.
cut.end.racer2player.2,Muy bien, hasta pronto.
cut.end.racer2player.3,Te estaré vigilando.
cut.end.racer2player.4,Cuida tus seis.
# {0} will be an noun insult (clown)
cut.end.racer2player.5,Vamos, es hora de que comas mi polvo, {0}.
cut.end.racer2player.6,Ahora vamos a la carretera.
cut.end.racer2player.7,Menos hablar, más hacer.
cut.end.racer2player.8,Adiós.
cut.end.racer2player.9,Lo que sea.
# {0} will be an noun insult (clown)
cut.end.racer2player.10,Lo que sea, {0}.

# {0} - curse adjective (goddamn security)
cut.end.gov.1,Ahora ve, o llamaré a {0} seguridad.
# {0} - insult singular (clown)
cut.end.gov.2,Batirlo, {0}.

cut.end.gov.3,Por favor, vete y no vuelvas hasta que lo hagas.
# {0} - insult singular (clown)
cut.end.gov.4,Adiós, {0}.
cut.end.gov.5,Adiós.

cut.req.drift.1,Casi olvido. ¡Tienes que hacerlo de lado para que cuente!
cut.req.drift.2,Ah, y por favor hazlo mientras estás a la deriva, los espectadores lo disfrutan mucho.
cut.req.drift.3,Y mejor deslízate mientras lo haces.
cut.req.drift.4,Espera, olvidé decirte. Hazlo a la deriva, al público le encanta.
cut.req.drift.5,Y me dijeron que tienes habilidad, así que pruébalo, hazlo mientras estás a la deriva.

cut.resp.drift.1,¡No otra vez, es imposible ganar de esta manera!
# {0} - curse word (crap)
cut.resp.drift.2,Oh, {0} ...
# {0} - curse word (crap)
cut.resp.drift.3,{0}, esto va a ser difícil.
cut.resp.drift.4,Muy bien, tengo esto.
cut.resp.drift.5,Afirmativo.
# {0} - name of character (i.e. Brace)
cut.resp.drift.6,Con mucho gusto, {0}.
cut.resp.drift.7,¡Señor sí señor!
cut.resp.drift.8,Entonces de lado será.
cut.resp.drift.9,¡Lo haría de lado, incluso sin que lo pidas!
cut.resp.drift.10,¡No digas más!
# {0} - insult singular (clown)
cut.resp.drift.11,¡Está encendido, {0}!

# In block blow, {0} will be second part of the sentence, generated somewhere
# (i.e. for your trouble, you will receive $1000)
cut.reward.part.1,Para su problema, {0}.
cut.reward.part.2,Si tiene éxito, {0}.
cut.reward.part.3_us,Si no nos decepciona, {0}.
cut.reward.part.3_me,Si no me decepcionas, {0}.
cut.reward.part.4,Si esto sucede, {0}.
cut.reward.part.5,Si no fallas, {0}.
cut.reward.part.6,Si tiene éxito, {0}.

# Same here, {0} will be second part of sentence generated somewhere
# (i.e. if you fail me like you always do, I will think of some punishment)
cut.punish.part.1,Si fallas, {0}!
cut.punish.part.2,Si no tiene éxito, {0}.
cut.punish.part.3,Si me fallas como siempre, {0}!
cut.punish.part.4,Si te equivocas, {0}!
cut.punish.part.4_1,Si arruinas esto, {0}!
cut.punish.part.4_2,Si lo arruinas, {0}!
cut.punish.part.5,Si de alguna manera logras equivocarte, ¡{0}!
cut.punish.part.6,Si no lo haces, {0}.

# In block below {0} will be generated sentence with reward part, {1} with punishment
# (i.e: If you succeed, you will get $1000, otherwise I will puncture your tires)
cut.rew.pun.part.1,Haga esto y {0}, pero si falla, {1}!
cut.rew.pun.part.2,Como recompensa, {0}, pero si te acobardas, {1}!
cut.rew.pun.part.3,Si esto sucede, {0}, de lo contrario {1}!
cut.rew.pun.part.4,Haga esto y {0}, pero también hay un castigo por el fracaso. {1}!
cut.rew.pun.part.5,Si haces esto, {0}. ¡Pero no piense que perdonaría un fracaso, {1}!
cut.rew.pun.part.6,{0}. ¡Pero no me decepciones, {1}!
cut.rew.pun.part.7,Para su problema, {0}. Aunque si fallas, {1}!
cut.rew.pun.part.8,Para esto, {0}, pero si no lo hace, {1}.
cut.rew.pun.part.9,Para el éxito, {0}, pero fallarme como siempre, y {1}!

# Rewards told by government agent. Not they start from lowercase letter, and no full stop in the end, as it's in mid sentence
# {0} will be a number
cut.rew.gov.cash.1,obtendrá $ {0}
cut.rew.gov.cash.2,recibirás $ {0}
cut.rew.gov.cash.3,le daremos $ {0}
cut.rew.gov.cash.4,le pagaremos $ {0}
cut.rew.gov.cash.5,Te daré $ {0}
cut.rew.gov.car,Personalmente te compraré un auto nuevo
cut.rew.gov.pts,Alteraré las estadísticas, obtendrás {0} puntos extra para esta carrera
cut.rew.gov.rnd,habrá una agradable sorpresa esperándote
cut.rew.gov.aero,mis técnicos actualizarán tu AERO
cut.rew.gov.turbo,la mecánica reemplazará tu TURBO por una más grande
cut.rew.gov.engine,los mecánicos ajustarán el gobernador para mejorar su MOTOR
cut.rew.gov.gears,sus ENGRANAJES obtendrán una actualización gratuita
